Subject,Course ,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Year,Term,Course Subject,Course Number,Course Section,Sched Type,A Range,B Range,C Range,D Range,Course,Section
ACCY,,65171,International Taxation,3,16,3,2,0,0,1,0,0,0,0,0,0,0,3.84,"Hutchens, Matthew",2020,SPRING,,,,LCD,,,,,554,
ACCY,,68538,Stat Analyses for Accountancy,0,20,3,2,1,0,0,0,0,0,0,0,0,0,3.87,"Brunner, Robert J",2020,SPRING,,,,LCD,,,,,571,
ACCY,,64806,Data Analytics Apps in ACCY,0,22,10,1,0,0,0,1,0,0,0,0,0,0,3.82,"Brown, Timothy J",2020,SPRING,,,,LCD,,,,,575,
ACCY,,67001,Data Analytics Apps in ACCY,6,28,0,0,1,0,0,1,0,0,0,0,0,0,3.92,"Brown, Timothy J",2020,SPRING,,,,LCD,,,,,575,
ACCY,,67002,Data Analytics Apps in ACCY,1,19,8,3,0,0,0,0,0,0,0,0,0,0,3.85,"Brown, Timothy J",2020,SPRING,,,,LCD,,,,,575,
ACCY,,66491,Data Analytics Apps in ACCY,12,20,2,2,0,0,0,0,0,0,0,1,0,0,3.86,"Hobson, Jessen L",2020,SPRING,,,,LCD,,,,,575,
ACCY,,66492,Data Analytics Apps in ACCY,4,15,10,3,1,0,1,0,0,0,0,0,0,0,3.77,"Hobson, Jessen L",2020,SPRING,,,,LCD,,,,,575,
ACCY,,66493,Data Analytics Apps in ACCY,10,19,6,1,0,0,0,0,0,0,0,0,0,0,3.93,"Hobson, Jessen L",2020,SPRING,,,,LCD,,,,,575,
ACCY,,70106,Data Analytics Apps in ACCY,1,12,9,3,1,3,0,0,0,0,0,0,0,0,3.66,"Penn, Michael W",2020,SPRING,,,,LCD,,,,,575,
ACCY,,70206,Data Analytics Apps in ACCY,5,14,8,2,4,2,0,0,0,0,0,0,0,0,3.7,"Penn, Michael W",2020,SPRING,,,,LCD,,,,,575,
ACCY,,70683,Data Preparation for Accting,19,10,1,1,1,0,0,0,0,0,0,0,0,0,3.94,"Guymon, Ronald N",2020,SPRING,,,,ONL,,,,,576,
